Breed,AKC_group,size_cat
Border Collie,herding,medium
Border Terrier,terrier,small
Brittany,sporting,medium
Cairn Terrier,terrier,small
Welsh Springer Spaniel,sporting,medium
English Cocker Spaniel,sporting,medium
Cocker Spaniel,sporting,small
Papillon,toy,small
Australian Cattle Dog,herding,medium
Shetland Sheepdog,herding,small
Siberian Husky,working,medium
Lhasa Apso,non-sporting,small
Affenpinscher,toy,small
Dachshund,hound,small
Miniature Schnauzer,terrier,small
Chihuahua,toy,small
Australian Terrier,terrier,small
Whippet,hound,medium
English Springer Spaniel,sporting,medium
West Highland White Terrier,terrier,small
Bedlington Terrier,terrier,small
Poodle,non-sporting,medium
Bichon Frise,non-sporting,small
German Shorthaired Pointer,sporting,large
Pointer,sporting,large
Tibetan Spaniel,non-sporting,small
Labrador Retriever,sporting,medium
Maltese,toy,small
Pomeranian,toy,small
Shih Tzu,toy,small
Australian Shepherd,herding,medium
Yorkshire Terrier,toy,small
Irish Setter,sporting,large
Pharaoh Hound,hound,medium
Brussels Griffon,toy,small
Golden Retriever,sporting,medium
Samoyed,working,medium
Beagle,hound,small
Chesapeake Bay Retriever,sporting,large
Tibetan Terrier,non-sporting,small
Gordon Setter,sporting,large
English Setter,sporting,large
Pug,toy,medium
Briard,herding,large
Norfolk Terrier,terrier,small
Flat-Coated Retriever,sporting,medium
Boston Terrier,non-sporting,medium
Doberman Pinscher,working,large
English Toy Spaniel,toy,small
Belgian Tervuren,herding,large
Cavalier King Charles Spaniel,toy,small
Dalmatian,non-sporting,medium
Basset Hound,hound,small
Basenji,hound,medium
Italian Greyhound,toy,small
Staffordshire Bull Terrier,terrier,medium
Bouvier des Flandres,herding,large
Pembroke Welsh Corgi,herding,small
Clumber Spaniel,sporting,medium
Dandie Dinmont Terrier,terrier,small
Saluki,hound,medium
Giant Schnauzer,working,large
Greyhound,hound,large
Scottish Terrier,terrier,small
Rottweiler,working,large
Kerry Blue Terrier,terrier,medium
Afghan Hound,hound,large
Newfoundland,working,large
German Shepherd,herding,large
Pekingese,toy,small
Old English Sheepdog,herding,medium
Akita,working,large
Rhodesian Ridgeback,hound,large
French Bulldog,non-sporting,medium
Borzoi,hound,large
Bernese Mountain Dog,working,large
Bull Terrier,terrier,medium
Boxer,working,medium
Alaskan Malamute,working,large
Chow Chow,non-sporting,medium
Bloodhound,hound,large
Irish Wolfhound,hound,large
Bullmastiff,working,large
Mastiff,working,large
Great Dane,working,large
Saint Bernard,working,large
Bulldog,non-sporting,medium
Airedale Terrier,terrier,medium
American English Coonhound,hound,large
American Eskimo Dog,non-sporting,small
American Foxhound,hound,medium
American Staffordshire Terrier,terrier,medium
American Water Spaniel,sporting,medium
Anatolian Shepherd Dog,working,large
Bearded Collie,herding,medium
Beauceron,herding,large
Belgian Malinois,herding,large
Belgian Sheepdog,herding,large
Black and Tan Coonhound,hound,large
Black Russian Terrier,working,large
Bluetick Coonhound,hound,large
Boykin Spaniel,sporting,medium
Canaan Dog,herding,medium
Cane Corso,working,large
Cardigan Welsh Corgi,herding,small
Cesky Terrier,terrier,small
Chinese Crested,toy,small
Chinese Shar Pei,non-sporting,medium
Collie,herding,large
Curly Coated Retriever,sporting,large
English Foxhound,hound,large
Entlebucher Mountain Dog,herding,medium
Field Spaniel,sporting,medium
Finnish Lapphund,herding,medium
Finnish Spitz,non-sporting,medium
German Pinscher,working,medium
German Wirehaired Pointer,sporting,large
Glen of Imaal Terrier,terrier,small
Great Pyrenees,working,large
Greater Swiss Mountain Dog,working,large
Harrier,hound,medium
Havanese,toy,small
Ibizan Hound,hound,large
Icelandic Sheepdog,herding,medium
Irish Red and White Setter,sporting,large
Irish Terrier,terrier,medium
Irish Water Spaniel,sporting,medium
Japanese Chin,toy,small
Keeshond,non-sporting,medium
Komondor,working,large
Kuvasz,working,large
Lakeland Terrier,terrier,small
Leonberger,working,large
Looked - nothing,,
Löwchen,non-sporting,small
Manchester Terrier,terrier,small
Miniature Bull Terrier,terrier,small
Miniature Pinscher,toy,small
Neapolitan Mastiff,working,large
Norwegian Buhund,herding,medium
Norwegian Elkhound,hound,medium
Norwegian Lundehund,non-sporting,small
Norwich Terrier,terrier,small
NOT POSSIBLE IF NO INTELLIGENCE DATA,,
Nova Scotia Duck Tolling Retriever,sporting,medium
Otterhound,hound,large
Parson Russell Terrier,terrier,small
Petit Basset Griffon Vendeen,hound,small
Plott,hound,medium
Polish Lowland Sheepdog,herding,medium
Portuguese Water Dog,working,medium
Puli,herding,medium
Pyrenean Shepherd,herding,medium
Redbone Coonhound,hound,large
Schipperke,non-sporting,small
Scottish Deerhound,hound,large
Sealyham Terrier,terrier,small
Shiba Inu,non-sporting,small
Silky Terrier,toy,small
Skye Terrier,terrier,small
Smooth Fox Terrier,terrier,small
Soft-Coated Wheaten Terrier,terrier,medium
Spinone Italiano,sporting,large
Standard Schnauzer,working,medium
Sussex Spaniel,sporting,small
Swedish Vallhund,herding,small
Tibetan Mastiff,working,large
Toy Fox Terrier,toy,small
Vizsla,sporting,medium
Weimaraner,sporting,large
Welsh Terrier,terrier,small
Wire Fox Terrier,terrier,small
Wirehaired Pointing Griffon,sporting,medium
Xoloitzcuintli,non-sporting,medium
