Restricted_Breeds,Austin_breed
Akita,Akita
American Bull Dog,American Bulldog
American Pit Bull Terrier,American Pit Bull Terrier
American Pit Bull Terrier,American Pit
American Pit Bull Terrier,American Pit Bull
American or Bull Staffordshire Terrier,American Staffordshire Terrier
American or Bull Staffordshire Terrier,Staffordshire
Briard,Briard
Borzoi Hounds,Borzoi
Bull Mastiff,Bullmastiff
Bull Terrier,Bull Terrier
Cane Corso,Cane Corso
Chow,Chow Chow
Dalmatian,Dalmatian
Doberman Pinscher,Doberman Pinch
Doberman Pinscher,Doberman Pinsch
Dogo,Dogo Argentino
German Shepherd,German Shepherd
Great Dane,Great Dane
Great Pyrenees,Great Pyrenees
Husky,Siberian Husky
Husky,Alaskan Husky
Irish Wolf Hound,Irish Wolfhound
Komondor,Komondor
Malamute,Alaskan Malamute
Neapolitan Mastiff,Neapolitan Mastiff
Pit Bull,Pit Bull
Rottweiler,Rottweiler
Scottish Deerhound,Scottish Deerhound
Spitz,Spitz
St. Bernard,St. Bernard
St. Bernard,St. Bernard Rough Coat
St. Bernard,St. Bernard Smooth Coat
St. Bernard,St. Bernard Smooth
Stafford Terrier (sic),Stafford Terrier (sic)
Presa Canarios,Presa Canario
Shar Pei,Shar Pei
Toso Inu and Wolf-Dog Hybrid,Toso Inu and Wolf-Dog Hybrid
Toso Inu,Toso Inu
Wolf-Dog Hybrid,Wolf Hybrid
