Breed,Austin_breedname,AKC_group,size_cat
Affenpinscher,Affenpinscher,toy,small
Afghan Hound,Afghan Hound,hound,large
Airedale Terrier,Airedale Terrier,terrier,medium
Akita,Akita,working,large
Alaskan Eskimo Dog,Klee Klai,non-sporting,small
Alaskan Malamute,Alaskan Malamute,working,large
American Bulldog,American Bulldog,pit bull,large
American English Coonhound,English Coonhound,hound,large
American Eskimo Dog,American Eskimo,non-sporting,small
American Foxhound,American Foxhound,hound,medium
American Pit Bull Terrier,American Pit Bull Terrier,pit bull,large
American Pit Bull Terrier,American Pit,pit bull,large
American Pit Bull Terrier,American Pit Bull,pit bull,large
American Staffordshire Terrier,American Staffordshire Terrier,terrier,medium
American Water Spaniel,American Water Spaniel,sporting,medium
Anatolian Shepherd Dog,Akbash,working,large
Anatolian Shepherd Dog,Anatol Shepherd,working,large
Australian Cattle Dog,Australian Cattle Dog,herding,medium
Australian Cattle Dog,Australian Kelpie,herding,medium
Australian Cattle Dog,Queensland Heeler,herding,medium
Australian Shepherd,Australian Shepherd,herding,medium
Australian Terrier,Australian Terrier,terrier,small
Basenji,Basenji,hound,medium
Basset Hound,Basset Hound,hound,small
Beagle,Beagle,hound,small
Bearded Collie,Bearded Collie,herding,medium
Bearded Collie,Dutch Sheepdog,herding,medium
Beauceron,Beauceron,herding,large
Bedlington Terrier,Bedlington Terr,terrier,small
Belgian Malinois,Belgian Malinois,herding,large
Belgian Sheepdog,Belgian Sheepdog,herding,large
Belgian Tervuren,Belgian Tervuren,herding,large
Belgian Turveren,Dutch Shepherd,herding,large
Bernese Mountain Dog,Bernese Mountain Dog,working,large
Bichon Frise,Bichon Frise,non-sporting,small
Black and Tan Coonhound,Black/Tan Coonhound,hound,large
Black and Tan Coonhound,Black and Tan Hound,hound,large
Black Mouth Cur,Black Mouth Cur,cur,medium
Black Russian Terrier,Black Russian Terrier,working,large
Bloodhound,Bloodhound,hound,large
Blue Lacy,Blue Lacy,cur,medium
Bluetick Coonhound,Bluetick Hound,hound,large
Boerboel,Boerboel,working,large
Border Collie,Border Collie,herding,medium
Border Terrier,Border Terrier,terrier,small
Borzoi,Borzoi,hound,large
Boston Terrier,Boston Terrier,non-sporting,medium
Bouvier des Flandres,Bouv Flandres,herding,large
Boxer,Boxer,working,medium
Boykin Spaniel,Boykin Span,sporting,medium
Briard,Briard,herding,large
Brittany,Brittany,sporting,medium
Brussels Griffon,Bruss Griffon,toy,small
Bull Terrier,Bull Terrier,terrier,medium
Bulldog,English Bulldog,non-sporting,medium
Bulldog,Bulldog,non-sporting,medium
Bullmastiff,Bullmastiff,working,large
Cairn Terrier,Cairn Terrier,terrier,small
Canaan Dog,Canaan Dog,herding,medium
Cane Corso,Cane Corso,working,large
Cardigan Welsh Corgi,Cardigan Welsh Corgi,herding,small
Carolina Dog,Carolina Dog,misc,medium
Catahoula,Catahoula,cur,large
Cavalier King Charles Spaniel,Cavalier Span,toy,small
Cesky Terrier,Cesky Terrier,terrier,small
Chesapeake Bay Retriever,Chesa Bay Retr,sporting,large
Chihuahua,Chihuahua Shorthair,toy,small
Chihuahua,Chihuahua Longhair,toy,small
Chinese Crested,Chinese Crested,toy,small
Chinese Shar Pei,Chinese Sharpei,non-sporting,medium
Chow Chow,Chow Chow,non-sporting,medium
Clumber Spaniel,Clumber Spaniel,sporting,medium
Cocker Spaniel,Cocker Spaniel,sporting,small
Collie,Collie Rough,herding,large
Collie,Collie Smooth,herding,large
Coton de Tulear,Coton De Tulear,non-sporting,small
Curly Coated Retriever,Curly Coated Retriever,sporting,large
Dachshund,Dachshund Stan,hound,small
Dachshund,Dachshund Longhair,hound,small
Dachshund,Dachshund Wirehair,hound,small
Dachshund,Dachshund,hound,small
Dalmatian,Dalmatian,non-sporting,medium
Dandie Dinmont Terrier,Dandie Dinmont,terrier,small
Doberman Pinscher,Doberman Pinch,working,large
Doberman Pinscher,Doberman Pinsch,working,large
Dogue de Bordeaux,Dogue De Bordeaux,working,large
English Cocker Spaniel,Cocker Span,sporting,medium
English Cocker Spaniel,English Cocker Spaniel,sporting,small
